category,file,label,checkpoint,sample_dir,mean_pesq,mean_stoi,mean_snr_db,mean_wer,reference_text,mean_si_snr_db,sim,pivotal_distance,clean,masking,shuffling,replacing,neural,acc_before,acc_after,acc_drop,false_positive_rate,mean_presence_logit,sim_before,sim_after,sim_drop,pivotal_before,pivotal_after,detection_acc_before,detection_acc_after,detection_acc_drop,perturbation_linf_mean,perturbation_snr_db_mean,vctk_detection_acc
Audio quality (PESQ/STOI/SI-SNR),stage1_low_perturbation_quality.json,./audio_samples/stage1_low_perturbation,,./audio_samples/stage1_low_perturbation,2.2067543268203735,0.9061242056074273,4.993339477240309,0.0625,This is a test sentence for voice cloning.,,,,,,,,,,,,,,,,,,,,,,,,
Audio quality (PESQ/STOI/SI-SNR),stage1_low_perturbation_quality_n25.json,./audio_samples/stage1_low_perturbation_large,,./audio_samples/stage1_low_perturbation_large,2.381447014808655,0.9188417844340322,5.079868893091425,0.04,This is a test sentence for voice cloning.,,,,,,,,,,,,,,,,,,,,,,,,
AudioPure purification,stage2_recal_audiopure.json,./checkpoints/stage2_sim_longrun_recalibrated/recalibrated_final.pt,./checkpoints/stage2_sim_longrun_recalibrated/recalibrated_final.pt,,,,,,,,,,,,,,,0.995,0.4825,0.5125,,,,,,,,,,,,,
False positive rate,stage2_recal_fpr.json,./checkpoints/stage2_sim_longrun_recalibrated/recalibrated_final.pt,./checkpoints/stage2_sim_longrun_recalibrated/recalibrated_final.pt,,,,,,,,,,,,,,,,,,0.12,-4.143536241650581,,,,,,,,,,,
Disruption (SIM),stage2_recal_sim.json,./checkpoints/stage2_sim_longrun_recalibrated/recalibrated_final.pt,./checkpoints/stage2_sim_longrun_recalibrated/recalibrated_final.pt,,,,,,,,0.46714826959830064,1.8686326833871694,,,,,,,,,,,,,,,,,,,,,
AudioPure purification,stage2_recal_v2_audiopure.json,./checkpoints/stage2_sim_longrun_recalibrated_v2/recalibrated_final.pt,./checkpoints/stage2_sim_longrun_recalibrated_v2/recalibrated_final.pt,,,,,,,,,,,,,,,0.995,0.4925,0.5025,,,,,,,,,,,,,
False positive rate,stage2_recal_v2_fpr.json,./checkpoints/stage2_sim_longrun_recalibrated_v2/recalibrated_final.pt,./checkpoints/stage2_sim_longrun_recalibrated_v2/recalibrated_final.pt,,,,,,,,,,,,,,,,,,0.0,-5.70043811917305,,,,,,,,,,,
Disruption (SIM),stage2_sim_quality.json,./audio_samples/stage2_sim_longrun,,./audio_samples/stage2_sim_longrun,2.1799880266189575,0.9042187734666376,4.903771118393294,0.03125,This is a test sentence for voice cloning.,,,,,,,,,,,,,,,,,,,,,,,,
Augmentation robustness,vctk_baseline.json,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9977678571428571
Augmentation robustness,vctk_stage1_v3.json,./checkpoints/stage1_full_recalibrated_v3/recalibrated_final.pt,./checkpoints/stage1_full_recalibrated_v3/recalibrated_final.pt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9977678571428571
